dt,currency,trx
2025-03-11,USD,27939.41
2025-03-12,USD,49225.93
2025-03-13,USD,24010.89
2025-03-14,USD,28087.32
2025-03-15,USD,4602.19
2025-03-16,USD,3575.49
2025-03-17,USD,41016.38
2025-03-18,USD,32827.33
2025-03-19,USD,40428.19
2025-03-20,USD,15994.51
2025-03-21,USD,32873.15
2025-03-22,USD,6043.71
2025-03-23,USD,5736.74
2025-03-24,USD,10461.04
2025-03-25,USD,15213.63
2025-03-26,USD,22370.72
2025-03-27,USD,14675.15
2025-03-28,USD,49434.34
2025-03-29,USD,6703.59
2025-03-30,USD,4563.89
2025-03-31,USD,17963.29
2025-04-01,USD,33508.13
2025-04-02,USD,12561.74
2025-04-03,USD,44497.37
2025-04-04,USD,48459.99
2025-04-05,USD,5960.97
2025-04-06,USD,8401.14
2025-04-07,USD,10885.38
2025-04-08,USD,35628.41
2025-04-09,USD,26557.04
2025-04-10,USD,20802.34
2025-04-11,USD,18273.48
2025-04-12,USD,10848.28
2025-04-13,USD,7994.6
2025-04-14,USD,17186.37
2025-04-15,USD,37564.36
2025-04-16,USD,32602.89
2025-04-17,USD,44346.88
2025-04-18,USD,14699.04
2025-04-19,USD,12428.0
2025-04-20,USD,11082.2
2025-04-21,USD,14600.44
2025-04-22,USD,37792.83
2025-04-23,USD,27661.89
2025-04-24,USD,47799.39
2025-04-25,USD,15664.45
2025-04-26,USD,10714.0
2025-04-27,USD,7583.76
2025-04-28,USD,48272.59
2025-04-29,USD,23199.0
2025-04-30,USD,48487.44
2025-05-01,USD,13817.83
2025-05-02,USD,6244.6
2025-05-03,USD,12642.5
2025-05-04,USD,14947.25
2025-05-05,USD,20106.52
2025-05-06,USD,27471.09
2025-05-07,USD,30807.23
2025-05-08,USD,21797.25
2025-05-09,USD,3183.18
2025-05-10,USD,5641.55
2025-05-11,USD,6383.24
2025-05-12,USD,27743.99
2025-05-13,USD,16844.1
2025-05-14,USD,44930.17
2025-05-15,USD,38196.45
2025-05-16,USD,13408.02
2025-05-17,USD,10801.11
2025-05-18,USD,10843.88
2025-05-19,USD,48248.85
2025-05-20,USD,10120.83
2025-05-21,USD,19917.3
2025-05-22,USD,47111.66
2025-05-23,USD,47285.36
2025-05-24,USD,11647.04
2025-05-25,USD,12189.16
2025-05-26,USD,13659.32
2025-05-27,USD,30555.03
2025-05-28,USD,19263.32
2025-05-29,USD,17248.72
2025-05-30,USD,42412.13
2025-05-31,USD,4620.46
2025-06-01,USD,8623.82
2025-06-02,USD,47543.13
2025-06-03,USD,17433.28
2025-06-04,USD,49119.74
2025-06-05,USD,49771.52
2025-06-06,USD,32224.69
2025-06-07,USD,5041.71
2025-06-08,USD,6793.26
2025-06-09,USD,26979.71
2025-06-10,USD,22372.97
2025-06-11,USD,21225.42
2025-06-12,USD,14666.76
2025-06-13,USD,4840.38
2025-06-14,USD,11799.93
2025-06-15,USD,3004.92
2025-06-16,USD,33847.31
2025-06-17,USD,46637.72
2025-06-18,USD,21517.36
2025-06-19,USD,17421.04
2025-06-20,USD,36067.19
2025-06-21,USD,11551.22
2025-06-22,USD,11256.37
2025-06-23,USD,22772.68
2025-06-24,USD,20088.1
2025-06-25,USD,48236.75
2025-06-26,USD,46931.98
2025-06-27,USD,28292.66
2025-06-28,USD,13154.33
2025-06-29,USD,8427.88
2025-06-30,USD,26975.56
2025-07-01,USD,16270.52
2025-07-02,USD,27056.24
2025-07-03,USD,31496.68
2025-07-04,USD,10900.17
2025-07-05,USD,8329.36
2025-07-06,USD,12376.27
2025-07-07,USD,37201.84
2025-07-08,USD,35406.28
2025-07-09,USD,46382.22
2025-07-10,USD,10721.28
2025-07-11,USD,32281.9
2025-07-12,USD,12448.19
2025-07-13,USD,9496.02
2025-07-14,USD,22955.82
2025-07-15,USD,15450.02
2025-07-16,USD,45502.52
2025-07-17,USD,28830.5
2025-07-18,USD,45124.61
2025-07-19,USD,10030.23
2025-07-20,USD,11090.31
2025-07-21,USD,42170.45
2025-07-22,USD,36366.22
2025-07-23,USD,25922.19
2025-07-24,USD,30545.34
2025-07-25,USD,42121.82
2025-07-26,USD,7483.8
2025-07-27,USD,7657.46
2025-07-28,USD,13827.6
2025-07-29,USD,46583.38
2025-07-30,USD,13641.45
2025-07-31,USD,35928.37
2025-08-01,USD,26527.78
2025-08-02,USD,7867.43
2025-08-03,USD,11154.62
2025-08-04,USD,12683.75
2025-08-05,USD,33748.23
2025-08-06,USD,40881.27
2025-08-07,USD,43128.51
2025-08-08,USD,16821.22
2025-08-09,USD,13769.03
2025-08-10,USD,10873.75
2025-08-11,USD,45274.19
2025-08-12,USD,29411.23
2025-08-13,USD,31681.33
2025-08-14,USD,46761.53
2025-08-15,USD,45996.38
2025-08-16,USD,8377.93
2025-08-17,USD,6292.95
2025-08-18,USD,25726.82
2025-08-19,USD,25510.57
2025-08-20,USD,21474.67
2025-08-21,USD,20743.18
2025-08-22,USD,44442.52
2025-08-23,USD,3838.34
2025-08-24,USD,11131.33
2025-08-25,USD,16912.8
2025-08-26,USD,23780.24
2025-08-27,USD,12461.72
2025-08-28,USD,20798.95
2025-08-29,USD,40736.84
2025-08-30,USD,13620.18
2025-08-31,USD,5658.33
2025-09-01,USD,28541.91
2025-09-02,USD,28812.96
2025-09-03,USD,44943.01
2025-09-04,USD,40511.96
2025-09-05,USD,30523.09
2025-09-06,USD,11048.97
2025-09-07,USD,13168.26
2025-09-08,USD,10381.56
2025-09-09,USD,26115.6
2025-09-10,USD,46289.73
2025-09-11,USD,39612.52
2025-09-12,USD,31713.65
2025-09-13,USD,9355.73
2025-09-14,USD,7173.24
2025-09-15,USD,30820.82
2025-09-16,USD,36215.33
2025-09-17,USD,26734.52
2025-09-18,USD,38566.13
2025-09-19,USD,44449.29
2025-09-20,USD,4856.22
2025-09-21,USD,8418.56
2025-09-22,USD,26320.8
2025-09-23,USD,37498.59
2025-09-24,USD,19994.7
2025-09-25,USD,35610.04
2025-09-26,USD,45099.57
2025-09-27,USD,8017.58
2025-09-28,USD,13932.19
2025-09-29,USD,49726.55
2025-09-30,USD,14243.68
2025-10-01,USD,19322.13
2025-10-02,USD,48015.19
2025-10-03,USD,48333.11
2025-10-04,USD,4172.49
2025-10-05,USD,3179.98
2025-10-06,USD,16444.0
2025-10-07,USD,49840.51
2025-10-08,USD,17199.98
2025-10-09,USD,30101.9
2025-10-10,USD,43936.71
2025-10-11,USD,3244.82
2025-10-12,USD,10253.87
2025-10-13,USD,21081.02
2025-10-14,USD,44493.4
2025-10-15,USD,21338.45
2025-10-16,USD,37470.23
2025-10-17,USD,36968.79
2025-10-18,USD,5657.92
2025-10-19,USD,3417.59
2025-10-20,USD,26369.98
2025-10-21,USD,21567.73
2025-10-22,USD,42359.11
2025-10-23,USD,42014.57
2025-10-24,USD,28280.96
2025-10-25,USD,10278.15
2025-10-26,USD,10251.11
2025-10-27,USD,43086.33
2025-10-28,USD,27000.1
2025-10-29,USD,21017.87
2025-10-30,USD,20601.4
2025-10-31,USD,31447.69
2025-11-01,USD,8389.78
2025-11-02,USD,8281.45
2025-11-03,USD,13645.49
2025-11-04,USD,11623.24
2025-11-05,USD,18549.47
2025-11-06,USD,17878.15
2025-11-07,USD,26510.33
2025-11-08,USD,5733.34
2025-11-09,USD,10006.3
2025-11-10,USD,24858.53
2025-11-11,USD,27956.47
2025-11-12,USD,31486.77
2025-11-13,USD,18141.42
2025-11-14,USD,16230.06
2025-11-15,USD,13565.06
2025-11-16,USD,8204.68
2025-11-17,USD,26483.74
2025-11-18,USD,11424.49
2025-11-19,USD,29919.05
2025-11-20,USD,32166.79
2025-11-21,USD,32353.63
2025-11-22,USD,11484.37
2025-11-23,USD,5129.78
2025-11-24,USD,20088.93
2025-11-25,USD,42429.22
2025-11-26,USD,47886.82
2025-11-27,USD,15437.31
2025-11-28,USD,29905.98
2025-11-29,USD,5570.12
2025-11-30,USD,3720.88
2025-12-01,USD,23020.13
2025-12-02,USD,15747.51
2025-12-03,USD,38397.32
2025-12-04,USD,31349.02
2025-12-05,USD,15753.38
2025-12-06,USD,3110.9
2025-12-07,USD,12697.88
2025-12-08,USD,17047.78
2025-12-09,USD,34248.67
2025-12-10,USD,23476.88
2025-12-11,USD,33419.44
2025-12-12,USD,22626.15
2025-12-13,USD,4043.27
2025-12-14,USD,5675.4
2025-12-15,USD,17522.34
2025-12-16,USD,27120.77
2025-12-17,USD,36331.35
2025-12-18,USD,20552.24
2025-12-19,USD,10482.8
2025-12-20,USD,9227.25
2025-12-21,USD,10269.11
2025-12-22,USD,48514.82
2025-12-23,USD,33578.83
2025-12-24,USD,28846.9
2025-12-25,USD,32936.07
2025-12-26,USD,47116.03
2025-12-27,USD,12940.54
2025-12-28,USD,6875.74
2025-12-29,USD,19490.17
2025-12-30,USD,20505.34
2025-12-31,USD,30176.84
2024-12-31,EUR,11928.59
2025-01-01,EUR,9038.63
2025-01-02,EUR,3813.56
2025-01-03,EUR,11682.97
2025-01-04,EUR,12671.64
2025-01-05,EUR,6473.97
2025-01-06,EUR,10969.51
2025-01-07,EUR,8119.1
2025-01-08,EUR,13669.43
2025-01-09,EUR,43809.02
2025-01-10,EUR,31017.28
2025-01-11,EUR,11298.07
2025-01-12,EUR,13600.2
2025-01-13,EUR,29828.68
2025-01-14,EUR,22530.03
2025-01-15,EUR,40146.65
2025-01-16,EUR,18802.65
2025-01-17,EUR,25541.25
2025-01-18,EUR,13388.73
2025-01-19,EUR,11693.07
2025-01-20,EUR,26152.44
2025-01-21,EUR,18589.78
2025-01-22,EUR,24238.74
2025-01-23,EUR,21364.17
2025-01-24,EUR,17043.57
2025-01-25,EUR,11919.99
2025-01-26,EUR,6024.84
2025-01-27,EUR,28166.7
2025-01-28,EUR,25434.38
2025-01-29,EUR,49283.1
2025-01-30,EUR,25643.69
2025-01-31,EUR,13199.3
2025-02-01,EUR,4077.91
2025-02-02,EUR,10089.04
2025-02-03,EUR,33974.54
2025-02-04,EUR,26750.36
2025-02-05,EUR,27273.75
2025-02-06,EUR,12157.3
2025-02-07,EUR,30661.86
2025-02-08,EUR,9056.87
2025-02-09,EUR,4794.59
2025-02-10,EUR,14153.58
2025-02-11,EUR,14942.9
2025-02-12,EUR,14041.13
2025-02-13,EUR,34388.33
2025-02-14,EUR,17859.31
2025-02-15,EUR,6017.16
2025-02-16,EUR,5082.87
2025-02-17,EUR,48313.41
2025-02-18,EUR,44184.7
2025-02-19,EUR,19219.79
2025-02-20,EUR,23102.65
2025-02-21,EUR,18395.71
2025-02-22,EUR,8902.51
2025-02-23,EUR,3235.33
2025-02-24,EUR,11056.42
2025-02-25,EUR,30926.33
2025-02-26,EUR,45945.56
2025-02-27,EUR,16575.71
2025-02-28,EUR,42164.37
2025-03-01,EUR,12503.53
2025-03-02,EUR,4526.17
2025-03-03,EUR,25942.37
2025-03-04,EUR,16806.11
2025-03-05,EUR,20188.82
2025-03-06,EUR,20529.85
2025-03-07,EUR,32249.46
2025-03-08,EUR,7936.93
2025-03-09,EUR,14372.79
2025-03-10,EUR,4516.44
2025-03-11,EUR,48947.69
2025-03-12,EUR,19225.55
2025-03-13,EUR,40914.96
2025-03-14,EUR,23558.8
2025-03-15,EUR,4716.98
2025-03-16,EUR,13294.67
2025-03-17,EUR,22354.44
2025-03-18,EUR,36354.22
2025-03-19,EUR,32657.75
2025-03-20,EUR,28870.25
2025-03-21,EUR,29832.78
2025-03-22,EUR,11786.85
2025-03-23,EUR,4053.27
2025-03-24,EUR,36727.23
2025-03-25,EUR,45832.48
2025-03-26,EUR,12311.53
2025-03-27,EUR,15626.13
2025-03-28,EUR,38665.28
2025-03-29,EUR,8247.38
2025-03-30,EUR,7842.58
2025-03-31,EUR,15478.67
2025-04-01,EUR,30270.8
2025-04-02,EUR,15061.81
2025-04-03,EUR,29064.82
2025-04-04,EUR,40544.61
2025-04-05,EUR,6099.17
2025-04-06,EUR,8769.43
2025-04-07,EUR,49680.64
2025-04-08,EUR,37466.02
2025-04-09,EUR,43654.27
2025-04-10,EUR,26593.9
2025-04-11,EUR,40714.44
2025-04-12,EUR,3486.11
2025-04-13,EUR,4474.93
2025-04-14,EUR,18122.82
2025-04-15,EUR,26078.08
2025-04-16,EUR,43829.8
2025-04-17,EUR,23850.64
2025-04-18,EUR,36184.85
2025-04-19,EUR,11511.77
2025-04-20,EUR,10034.19
2025-04-21,EUR,24289.68
2025-04-22,EUR,33082.13
2025-04-23,EUR,23690.62
2025-04-24,EUR,13354.95
2025-04-25,EUR,49712.16
2025-04-26,EUR,4526.19
2025-04-27,EUR,3868.18
2025-04-28,EUR,45141.23
2025-04-29,EUR,22073.39
2025-04-30,EUR,36011.88
2025-05-01,EUR,6948.07
2025-05-02,EUR,7697.45
2025-05-03,EUR,6145.36
2025-05-04,EUR,7116.53
2025-05-05,EUR,26428.02
2025-05-06,EUR,38816.64
2025-05-07,EUR,30461.45
2025-05-08,EUR,47742.61
2025-05-09,EUR,3502.56
2025-05-10,EUR,9036.82
2025-05-11,EUR,10010.7
2025-05-12,EUR,46807.88
2025-05-13,EUR,11966.34
2025-05-14,EUR,32939.98
2025-05-15,EUR,44145.2
2025-05-16,EUR,19677.11
2025-05-17,EUR,13515.51
2025-05-18,EUR,3228.52
2025-05-19,EUR,39298.19
2025-05-20,EUR,47324.53
2025-05-21,EUR,36287.91
2025-05-22,EUR,27561.17
2025-05-23,EUR,11795.24
2025-05-24,EUR,14041.37
2025-05-25,EUR,8643.55
2025-05-26,EUR,11159.87
2025-05-27,EUR,37592.84
2025-05-28,EUR,29273.49
2025-05-29,EUR,14973.81
2025-05-30,EUR,18570.87
2025-05-31,EUR,3773.89
2025-06-01,EUR,9891.52
2025-06-02,EUR,34881.18
2025-06-03,EUR,30229.69
2025-06-04,EUR,42684.09
2025-06-05,EUR,44440.35
2025-06-06,EUR,34624.98
2025-06-07,EUR,3153.08
2025-06-08,EUR,11342.76
2025-06-09,EUR,26719.97
2025-06-10,EUR,32622.3
2025-06-11,EUR,35963.22
2025-06-12,EUR,7202.84
2025-06-13,EUR,14005.18
2025-06-14,EUR,4607.7
2025-06-15,EUR,11058.14
2025-06-16,EUR,10174.38
2025-06-17,EUR,46986.04
2025-06-18,EUR,14500.17
2025-06-19,EUR,13795.37
2025-06-20,EUR,23320.31
2025-06-21,EUR,7482.8
2025-06-22,EUR,5571.6
2025-06-23,EUR,33404.87
2025-06-24,EUR,27716.56
2025-06-25,EUR,11367.02
2025-06-26,EUR,22786.08
2025-06-27,EUR,42417.32
2025-06-28,EUR,11276.42
2025-06-29,EUR,11698.45
2025-06-30,EUR,37924.68
2025-07-01,EUR,22438.92
2025-07-02,EUR,13986.56
2025-07-03,EUR,20898.69
2025-07-04,EUR,43271.41
2025-07-05,EUR,14765.65
2025-07-06,EUR,8926.16
2025-07-07,EUR,10388.01
2025-07-08,EUR,15601.79
2025-07-09,EUR,22883.22
2025-07-10,EUR,33143.41
2025-07-11,EUR,13003.75
2025-07-12,EUR,14320.29
2025-07-13,EUR,7381.0
2025-07-14,EUR,46503.37
2025-07-15,EUR,41220.87
2025-07-16,EUR,40217.49
2025-07-17,EUR,34268.78
2025-07-18,EUR,35071.35
2025-07-19,EUR,10656.04
2025-07-20,EUR,10544.66
2025-07-21,EUR,32149.13
2025-07-22,EUR,49456.56
2025-07-23,EUR,39291.62
2025-07-24,EUR,41077.86
2025-07-25,EUR,44898.51
2025-07-26,EUR,5587.68
2025-07-27,EUR,4005.65
2025-07-28,EUR,29315.78
2025-07-29,EUR,30563.23
2025-07-30,EUR,43167.27
2025-07-31,EUR,27751.34
2025-08-01,EUR,32834.12
2025-08-02,EUR,9324.85
2025-08-03,EUR,3458.43
2025-08-04,EUR,34608.6
2025-08-05,EUR,43121.73
2025-08-06,EUR,16300.02
2025-08-07,EUR,33773.27
2025-08-08,EUR,33744.42
2025-08-09,EUR,4970.22
2025-08-10,EUR,4481.56
2025-08-11,EUR,49202.08
2025-08-12,EUR,25748.77
2025-08-13,EUR,19096.87
2025-08-14,EUR,16852.98
2025-08-15,EUR,36704.07
2025-08-16,EUR,10313.34
2025-08-17,EUR,10722.63
2025-08-18,EUR,13520.24
2025-08-19,EUR,45741.38
2025-08-20,EUR,25570.66
2025-08-21,EUR,22534.78
2025-08-22,EUR,28494.46
2025-08-23,EUR,7680.79
2025-08-24,EUR,13362.92
2025-08-25,EUR,47170.44
2025-08-26,EUR,22138.13
2025-08-27,EUR,44557.43
2025-08-28,EUR,41260.93
2025-08-29,EUR,47232.31
2025-08-30,EUR,5949.0
2025-08-31,EUR,9923.51
2025-09-01,EUR,20981.78
2025-09-02,EUR,42963.78
2025-09-03,EUR,10212.97
2025-09-04,EUR,32592.77
2025-09-05,EUR,23568.14
2025-09-06,EUR,6872.2
2025-09-07,EUR,10738.88
2025-09-08,EUR,44059.38
2025-09-09,EUR,34367.82
2025-09-10,EUR,44126.92
2025-09-11,EUR,20583.88
2025-09-12,EUR,30780.07
2025-09-13,EUR,8406.44
2025-09-14,EUR,3139.74
2025-09-15,EUR,32272.49
2025-09-16,EUR,36460.97
2025-09-17,EUR,33676.58
2025-09-18,EUR,39451.2
2025-09-19,EUR,32853.58
2025-09-20,EUR,3801.0
2025-09-21,EUR,4397.35
2025-09-22,EUR,33858.98
2025-09-23,EUR,20999.17
2025-09-24,EUR,13185.81
2025-09-25,EUR,27184.11
2025-09-26,EUR,32172.9
2025-09-27,EUR,6944.95
2025-09-28,EUR,11645.2
2025-09-29,EUR,35750.82
2025-09-30,EUR,23312.73
2025-10-01,EUR,40194.9
2025-10-02,EUR,35947.8
2025-10-03,EUR,35497.82
2025-10-04,EUR,9641.13
2025-10-05,EUR,3136.68
2025-10-06,EUR,37860.29
2025-10-07,EUR,25041.67
2025-10-08,EUR,47704.39
2025-10-09,EUR,42719.39
2025-10-10,EUR,33507.78
2025-10-11,EUR,6026.18
2025-10-12,EUR,5444.61
2025-10-13,EUR,23615.39
2025-10-14,EUR,29062.72
2025-10-15,EUR,21842.62
2025-10-16,EUR,30597.18
2025-10-17,EUR,16614.82
2025-10-18,EUR,14732.55
2025-10-19,EUR,4295.09
2025-10-20,EUR,47277.77
2025-10-21,EUR,46543.12
2025-10-22,EUR,31014.42
2025-10-23,EUR,38996.41
2025-10-24,EUR,27441.93
2025-10-25,EUR,10560.41
2025-10-26,EUR,7086.91
2025-10-27,EUR,22046.36
2025-10-28,EUR,33129.19
2025-10-29,EUR,29925.19
2025-10-30,EUR,33181.45
2025-10-31,EUR,21466.42
2025-11-01,EUR,7403.49
2025-11-02,EUR,4006.78
2025-11-03,EUR,12091.05
2025-11-04,EUR,6041.49
2025-11-05,EUR,12969.87
2025-11-06,EUR,14150.99
2025-11-07,EUR,42517.14
2025-11-08,EUR,3466.48
2025-11-09,EUR,10907.31
2025-11-10,EUR,20902.31
2025-11-11,EUR,44861.83
2025-11-12,EUR,29399.69
2025-11-13,EUR,22223.06
2025-11-14,EUR,30705.56
2025-11-15,EUR,7583.5
2025-11-16,EUR,9771.61
2025-11-17,EUR,14581.31
2025-11-18,EUR,49879.62
2025-11-19,EUR,27022.24
2025-11-20,EUR,23929.23
2025-11-21,EUR,38408.39
2025-11-22,EUR,7366.79
2025-11-23,EUR,12999.29
2025-11-24,EUR,28170.83
2025-11-25,EUR,38782.34
2025-11-26,EUR,14298.13
2025-11-27,EUR,43844.77
2025-11-28,EUR,39428.72
2025-11-29,EUR,5540.6
2025-11-30,EUR,4743.43
2025-12-01,EUR,22651.69
2025-12-02,EUR,49042.82
2025-12-03,EUR,20273.26
2025-12-04,EUR,28245.09
2025-12-05,EUR,11200.81
2025-12-06,EUR,7766.73
2025-12-07,EUR,9855.84
2025-12-08,EUR,48124.98
2025-12-09,EUR,30669.44
2025-12-10,EUR,42764.29
2025-12-11,EUR,31885.11
2025-12-12,EUR,11631.4
2025-12-13,EUR,6780.1
2025-12-14,EUR,9906.59
2025-12-15,EUR,48023.76
2025-12-16,EUR,44365.21
2025-12-17,EUR,19134.22
2025-12-18,EUR,18804.39
2025-12-19,EUR,18046.92
2025-12-20,EUR,14069.99
2025-12-21,EUR,13231.99
2025-12-22,EUR,40995.34
2025-12-23,EUR,25709.4
2025-12-24,EUR,30175.23
2025-12-25,EUR,28573.27
2025-12-26,EUR,20135.92
2025-12-27,EUR,9060.34
2025-12-28,EUR,3365.96
2025-12-29,EUR,15272.41
2025-12-30,EUR,45463.58
2025-12-31,EUR,40067.19
2024-12-31,CNY,8074.42
2025-01-01,CNY,9205.8
2025-01-02,CNY,7439.99
2025-01-03,CNY,11889.36
2025-01-04,CNY,12410.25
2025-01-05,CNY,12159.42
2025-01-06,CNY,11671.34
2025-01-07,CNY,5454.05
2025-01-08,CNY,7055.64
2025-01-09,CNY,28793.82
2025-01-10,CNY,23231.72
2025-01-11,CNY,12059.28
2025-01-12,CNY,6952.24
2025-01-13,CNY,15529.28
2025-01-14,CNY,25961.62
2025-01-15,CNY,49196.58
2025-01-16,CNY,19035.26
2025-01-17,CNY,34486.35
2025-01-18,CNY,8195.68
2025-01-19,CNY,3852.29
2025-01-20,CNY,29515.06
2025-01-21,CNY,38086.57
2025-01-22,CNY,30528.8
2025-01-23,CNY,44884.24
2025-01-24,CNY,21557.48
2025-01-25,CNY,4034.99
2025-01-26,CNY,14238.79
2025-01-27,CNY,25127.85
2025-01-28,CNY,33056.22
2025-01-29,CNY,41680.13
2025-01-30,CNY,22972.55
2025-01-31,CNY,38646.58
2025-02-01,CNY,4625.03
2025-02-02,CNY,6495.52
2025-02-03,CNY,15788.43
2025-02-04,CNY,42449.22
2025-02-05,CNY,18905.97
2025-02-06,CNY,38696.14
2025-02-07,CNY,47731.94
2025-02-08,CNY,9333.27
2025-02-09,CNY,9480.35
2025-02-10,CNY,28441.34
2025-02-11,CNY,23035.61
2025-02-12,CNY,29026.2
2025-02-13,CNY,34112.3
2025-02-14,CNY,49439.66
2025-02-15,CNY,14253.17
2025-02-16,CNY,13345.84
2025-02-17,CNY,45565.22
2025-02-18,CNY,28713.97
2025-02-19,CNY,36297.77
2025-02-20,CNY,45802.67
2025-02-21,CNY,25718.03
2025-02-22,CNY,14541.15
2025-02-23,CNY,7989.43
2025-02-24,CNY,10212.99
2025-02-25,CNY,38392.19
2025-02-26,CNY,48023.68
2025-02-27,CNY,19784.65
2025-02-28,CNY,39845.24
2025-03-01,CNY,9249.79
2025-03-02,CNY,6222.69
2025-03-03,CNY,41064.27
2025-03-04,CNY,32088.89
2025-03-05,CNY,36438.95
2025-03-06,CNY,22916.04
2025-03-07,CNY,29250.96
2025-03-08,CNY,10408.25
2025-03-09,CNY,7858.93
2025-03-10,CNY,5380.47
2025-03-11,CNY,48465.62
2025-03-12,CNY,30458.7
2025-03-13,CNY,39356.81
2025-03-14,CNY,26441.89
2025-03-15,CNY,7261.58
2025-03-16,CNY,7885.97
2025-03-17,CNY,26367.87
2025-03-18,CNY,31767.2
2025-03-19,CNY,31738.79
2025-03-20,CNY,29886.15
2025-03-21,CNY,15391.43
2025-03-22,CNY,8952.91
2025-03-23,CNY,5029.25
2025-03-24,CNY,15045.43
2025-03-25,CNY,47305.83
2025-03-26,CNY,34198.0
2025-03-27,CNY,36379.6
2025-03-28,CNY,26071.75
2025-03-29,CNY,13907.77
2025-03-30,CNY,10655.17
2025-03-31,CNY,40766.79
2025-04-01,CNY,24742.5
2025-04-02,CNY,48400.48
2025-04-03,CNY,42818.45
2025-04-04,CNY,44157.94
2025-04-05,CNY,5066.33
2025-04-06,CNY,6251.56
2025-04-07,CNY,21425.06
2025-04-08,CNY,20836.37
2025-04-09,CNY,44216.33
2025-04-10,CNY,11275.39
2025-04-11,CNY,13044.0
2025-04-12,CNY,6286.98
2025-04-13,CNY,5398.48
2025-04-14,CNY,19274.38
2025-04-15,CNY,41917.73
2025-04-16,CNY,32525.06
2025-04-17,CNY,10230.83
2025-04-18,CNY,27172.91
2025-04-19,CNY,7894.62
2025-04-20,CNY,4367.34
2025-04-21,CNY,37045.67
2025-04-22,CNY,38083.89
2025-04-23,CNY,38835.73
2025-04-24,CNY,39138.84
2025-04-25,CNY,10002.11
2025-04-26,CNY,14447.05
2025-04-27,CNY,12770.51
2025-04-28,CNY,46159.27
2025-04-29,CNY,10625.73
2025-04-30,CNY,47354.35
2025-05-01,CNY,12717.46
2025-05-02,CNY,13046.63
2025-05-03,CNY,4119.45
2025-05-04,CNY,11865.34
2025-05-05,CNY,48396.67
2025-05-06,CNY,37141.89
2025-05-07,CNY,32822.46
2025-05-08,CNY,47825.19
2025-05-09,CNY,8315.25
2025-05-10,CNY,10191.52
2025-05-11,CNY,8716.06
2025-05-12,CNY,47313.85
2025-05-13,CNY,13043.39
2025-05-14,CNY,30044.79
2025-05-15,CNY,37478.1
2025-05-16,CNY,41676.26
2025-05-17,CNY,9996.22
2025-05-18,CNY,13907.01
2025-05-19,CNY,47679.66
2025-05-20,CNY,12572.77
2025-05-21,CNY,26094.82
2025-05-22,CNY,10938.36
2025-05-23,CNY,23176.67
2025-05-24,CNY,9442.42
2025-05-25,CNY,13929.54
2025-05-26,CNY,43862.17
2025-05-27,CNY,15099.99
2025-05-28,CNY,13721.21
2025-05-29,CNY,33570.69
2025-05-30,CNY,31284.72
2025-05-31,CNY,6196.53
2025-06-01,CNY,13793.44
2025-06-02,CNY,47094.66
2025-06-03,CNY,26104.46
2025-06-04,CNY,45612.1
2025-06-05,CNY,25357.96
2025-06-06,CNY,39472.67
2025-06-07,CNY,8711.31
2025-06-08,CNY,4471.0
2025-06-09,CNY,47117.37
2025-06-10,CNY,28163.86
2025-06-11,CNY,39379.48
2025-06-12,CNY,7406.09
