dt,currency,cur_rate
2025-05-20,USD,94.25
2025-05-21,USD,94.22
2025-05-22,USD,96.35
2025-05-23,USD,93.29
2025-05-26,USD,96.52
2025-05-27,USD,94.03
2025-05-28,USD,95.37
2025-05-29,USD,96.74
2025-05-30,USD,95.71
2025-06-02,USD,94.66
2025-06-03,USD,95.76
2025-06-04,USD,94.38
2025-06-05,USD,94.11
2025-06-06,USD,96.99
2025-06-09,USD,96.0
2025-06-10,USD,95.58
2025-06-11,USD,94.42
2025-06-16,USD,93.2
2025-06-17,USD,93.12
2025-06-18,USD,95.22
2025-06-19,USD,96.05
2025-06-20,USD,95.15
2025-06-23,USD,96.36
2025-06-24,USD,93.13
2025-06-25,USD,94.47
2025-06-26,USD,93.95
2025-06-27,USD,94.79
2025-06-30,USD,93.29
2025-07-01,USD,96.82
2025-07-02,USD,93.89
2025-07-03,USD,96.69
2025-07-04,USD,94.7
2025-07-07,USD,96.94
2025-07-08,USD,95.22
2025-07-09,USD,96.72
2025-07-10,USD,93.02
2025-07-11,USD,95.99
2025-07-14,USD,96.61
2025-07-15,USD,93.56
2025-07-16,USD,93.38
2025-07-17,USD,94.7
2025-07-18,USD,96.73
2025-07-21,USD,95.17
2025-07-22,USD,95.11
2025-07-23,USD,93.56
2025-07-24,USD,93.0
2025-07-25,USD,96.24
2025-07-28,USD,93.35
2025-07-29,USD,95.54
2025-07-30,USD,96.66
2025-07-31,USD,93.83
2025-08-01,USD,95.66
2025-08-04,USD,93.31
2025-08-05,USD,95.42
2025-08-06,USD,93.66
2025-08-07,USD,95.94
2025-08-08,USD,94.2
2025-08-11,USD,94.85
2025-08-12,USD,95.4
2025-08-13,USD,93.69
2025-08-14,USD,95.97
2025-08-15,USD,94.21
2025-08-18,USD,95.65
2025-08-19,USD,93.63
2025-08-20,USD,95.75
2025-08-21,USD,93.51
2025-08-22,USD,94.7
2025-08-25,USD,93.99
2025-08-26,USD,95.99
2025-08-27,USD,94.05
2025-08-28,USD,96.53
2025-08-29,USD,96.57
2025-09-01,USD,93.79
2025-09-02,USD,95.46
2025-09-03,USD,93.35
2025-09-04,USD,94.57
2025-09-05,USD,95.85
2025-09-08,USD,95.64
2025-09-09,USD,95.5
2025-09-10,USD,94.13
2025-09-11,USD,94.51
2025-09-12,USD,93.41
2025-09-15,USD,95.88
2025-09-16,USD,95.02
2025-09-17,USD,95.84
2025-09-18,USD,94.0
2025-09-19,USD,94.3
2025-09-22,USD,94.34
2025-09-23,USD,93.1
2025-09-24,USD,94.36
2025-09-25,USD,96.21
2025-09-26,USD,96.59
2025-09-29,USD,95.07
2025-09-30,USD,94.82
2025-10-01,USD,93.12
2025-10-02,USD,96.52
2025-10-03,USD,93.05
2025-10-06,USD,96.78
2025-10-07,USD,94.96
2025-10-08,USD,94.37
2025-10-09,USD,96.7
2025-10-10,USD,93.1
2025-10-13,USD,95.33
2025-10-14,USD,95.2
2025-10-15,USD,93.88
2025-10-16,USD,94.72
2025-10-17,USD,95.61
2025-10-20,USD,95.91
2025-10-21,USD,93.0
2025-10-22,USD,96.75
2025-10-23,USD,93.66
2025-10-24,USD,93.93
2025-10-27,USD,94.05
2025-10-28,USD,93.15
2025-10-29,USD,93.49
2025-10-30,USD,96.95
2025-10-31,USD,94.26
2025-11-03,USD,93.46
2025-11-05,USD,93.43
2025-11-06,USD,95.88
2025-11-07,USD,96.42
2025-11-10,USD,94.03
2025-11-11,USD,93.08
2025-11-12,USD,93.89
2025-11-13,USD,93.23
2025-11-14,USD,93.41
2025-11-17,USD,94.73
2025-11-18,USD,93.92
2025-11-19,USD,95.06
2025-11-20,USD,94.01
2025-11-21,USD,96.76
2025-11-24,USD,96.62
2025-11-25,USD,95.27
2025-11-26,USD,94.42
2025-11-27,USD,94.52
2025-11-28,USD,94.65
2025-12-01,USD,95.91
2025-12-02,USD,94.81
2025-12-03,USD,96.43
2025-12-04,USD,96.78
2025-12-05,USD,94.34
2025-12-08,USD,95.24
2025-12-09,USD,93.38
2025-12-10,USD,93.8
2025-12-11,USD,94.65
2025-12-12,USD,93.82
2025-12-15,USD,96.51
2025-12-16,USD,93.63
2025-12-17,USD,94.82
2025-12-18,USD,95.42
2025-12-19,USD,95.77
2025-12-22,USD,94.53
2025-12-23,USD,96.48
2025-12-24,USD,95.27
2025-12-25,USD,94.76
2025-12-26,USD,93.27
2025-12-29,USD,94.86
2025-12-30,USD,96.28
2025-12-31,USD,95.46
2025-01-09,EUR,106.33
2025-01-10,EUR,104.98
2025-01-13,EUR,103.47
2025-01-14,EUR,103.05
2025-01-15,EUR,104.21
2025-01-16,EUR,105.79
2025-01-17,EUR,106.16
2025-01-20,EUR,104.18
2025-01-21,EUR,104.98
2025-01-22,EUR,104.68
2025-01-23,EUR,104.64
2025-01-24,EUR,103.93
2025-01-27,EUR,103.55
2025-01-28,EUR,103.79
2025-01-29,EUR,103.22
2025-01-30,EUR,103.79
2025-01-31,EUR,103.04
2025-02-03,EUR,105.51
2025-02-04,EUR,104.27
2025-02-05,EUR,106.89
2025-02-06,EUR,103.77
2025-02-07,EUR,104.38
2025-02-10,EUR,104.43
2025-02-11,EUR,103.03
2025-02-12,EUR,106.36
2025-02-13,EUR,103.13
2025-02-14,EUR,106.76
2025-02-17,EUR,106.57
2025-02-18,EUR,105.14
2025-02-19,EUR,105.17
2025-02-20,EUR,105.62
2025-02-21,EUR,104.55
2025-02-25,EUR,105.59
2025-02-26,EUR,103.18
2025-02-27,EUR,103.22
2025-02-28,EUR,104.83
2025-03-03,EUR,105.2
2025-03-04,EUR,106.55
2025-03-05,EUR,103.42
2025-03-06,EUR,106.29
2025-03-07,EUR,103.84
2025-03-11,EUR,104.58
2025-03-12,EUR,104.27
2025-03-13,EUR,104.6
2025-03-14,EUR,103.6
2025-03-17,EUR,105.01
2025-03-18,EUR,106.21
2025-03-19,EUR,104.77
2025-03-20,EUR,104.96
2025-03-21,EUR,106.4
2025-03-24,EUR,105.82
2025-03-25,EUR,104.96
2025-03-26,EUR,104.03
2025-03-27,EUR,106.54
2025-03-28,EUR,105.31
2025-03-31,EUR,103.88
2025-04-01,EUR,104.08
2025-04-02,EUR,106.21
2025-04-03,EUR,103.18
2025-04-04,EUR,106.97
2025-04-07,EUR,103.52
2025-04-08,EUR,106.18
2025-04-09,EUR,104.58
2025-04-10,EUR,104.97
2025-04-11,EUR,106.52
2025-04-14,EUR,104.65
2025-04-15,EUR,105.15
2025-04-16,EUR,103.2
2025-04-17,EUR,103.01
2025-04-18,EUR,103.98
2025-04-21,EUR,105.72
2025-04-22,EUR,103.49
2025-04-23,EUR,103.46
2025-04-24,EUR,104.64
2025-04-25,EUR,105.59
2025-04-28,EUR,105.85
2025-04-29,EUR,103.71
2025-04-30,EUR,103.32
2025-05-05,EUR,106.76
2025-05-06,EUR,104.04
2025-05-07,EUR,106.41
2025-05-08,EUR,106.45
2025-05-12,EUR,106.09
2025-05-13,EUR,103.68
2025-05-14,EUR,106.29
2025-05-15,EUR,106.08
2025-05-16,EUR,105.39
2025-05-19,EUR,104.35
2025-05-20,EUR,104.05
2025-05-21,EUR,103.49
2025-05-22,EUR,105.04
2025-05-23,EUR,105.34
2025-05-26,EUR,104.44
2025-05-27,EUR,104.9
2025-05-28,EUR,104.45
2025-05-29,EUR,105.56
2025-05-30,EUR,106.61
2025-06-02,EUR,103.66
2025-06-03,EUR,104.53
2025-06-04,EUR,103.56
2025-06-05,EUR,105.5
2025-06-06,EUR,105.92
2025-06-09,EUR,106.73
2025-06-10,EUR,104.12
2025-06-11,EUR,106.8
2025-06-16,EUR,103.25
2025-06-17,EUR,105.41
2025-06-18,EUR,103.23
2025-06-19,EUR,106.58
2025-06-20,EUR,105.12
2025-06-23,EUR,105.68
2025-06-24,EUR,106.33
2025-06-25,EUR,103.6
2025-06-26,EUR,103.15
2025-06-27,EUR,106.52
2025-06-30,EUR,104.26
2025-07-01,EUR,103.52
2025-07-02,EUR,104.87
2025-07-03,EUR,105.39
2025-07-04,EUR,103.12
2025-07-07,EUR,104.1
2025-07-08,EUR,103.13
2025-07-09,EUR,104.68
2025-07-10,EUR,106.58
2025-07-11,EUR,106.93
2025-07-14,EUR,105.55
2025-07-15,EUR,103.65
2025-07-16,EUR,106.62
2025-07-17,EUR,105.06
2025-07-18,EUR,103.61
2025-07-21,EUR,106.69
2025-07-22,EUR,106.03
2025-07-23,EUR,105.93
2025-07-24,EUR,105.84
2025-07-25,EUR,103.8
2025-07-28,EUR,103.84
2025-07-29,EUR,105.75
2025-07-30,EUR,103.88
2025-07-31,EUR,104.75
2025-08-01,EUR,106.13
2025-08-04,EUR,106.14
2025-08-05,EUR,104.81
2025-08-06,EUR,106.17
2025-08-07,EUR,106.35
2025-08-08,EUR,105.62
2025-08-11,EUR,103.91
2025-08-12,EUR,104.1
2025-08-13,EUR,104.26
2025-08-14,EUR,103.47
2025-08-15,EUR,104.09
2025-08-18,EUR,103.84
2025-08-19,EUR,104.82
2025-08-20,EUR,106.63
2025-08-21,EUR,103.42
2025-08-22,EUR,105.88
2025-08-25,EUR,105.75
2025-08-26,EUR,103.38
2025-08-27,EUR,106.69
2025-08-28,EUR,105.27
2025-08-29,EUR,104.45
2025-09-01,EUR,106.03
2025-09-02,EUR,104.03
2025-09-03,EUR,105.77
2025-09-04,EUR,103.16
2025-09-05,EUR,106.36
2025-09-08,EUR,104.79
2025-09-09,EUR,105.55
2025-09-10,EUR,103.88
2025-09-11,EUR,105.71
2025-09-12,EUR,106.09
2025-09-15,EUR,104.89
2025-09-16,EUR,105.47
2025-09-17,EUR,104.83
2025-09-18,EUR,106.58
2025-09-19,EUR,104.99
2025-09-22,EUR,106.37
2025-09-23,EUR,106.21
2025-09-24,EUR,104.64
2025-09-25,EUR,103.92
2025-09-26,EUR,104.62
2025-09-29,EUR,106.3
2025-09-30,EUR,103.91
2025-10-01,EUR,105.1
2025-10-02,EUR,106.22
2025-10-03,EUR,104.41
2025-10-06,EUR,105.57
2025-10-07,EUR,103.98
2025-10-08,EUR,103.44
2025-10-09,EUR,106.18
2025-10-10,EUR,103.4
2025-10-13,EUR,104.09
2025-10-14,EUR,106.42
2025-10-15,EUR,104.39
2025-10-16,EUR,106.89
2025-10-17,EUR,106.92
2025-10-20,EUR,104.07
2025-10-21,EUR,103.16
2025-10-22,EUR,105.82
2025-10-23,EUR,104.8
2025-10-24,EUR,103.4
2025-10-27,EUR,105.83
2025-10-28,EUR,103.12
2025-10-29,EUR,106.48
2025-10-30,EUR,103.55
2025-10-31,EUR,103.51
2025-11-03,EUR,103.7
2025-11-05,EUR,106.84
2025-11-06,EUR,105.77
2025-11-07,EUR,106.21
2025-11-10,EUR,104.59
2025-11-11,EUR,104.35
2025-11-12,EUR,103.94
2025-11-13,EUR,104.92
2025-11-14,EUR,105.21
2025-11-17,EUR,105.53
2025-11-18,EUR,104.03
2025-11-19,EUR,106.79
2025-11-20,EUR,103.68
2025-11-21,EUR,106.86
2025-11-24,EUR,103.06
2025-11-25,EUR,104.92
2025-11-26,EUR,104.33
2025-11-27,EUR,104.8
2025-11-28,EUR,105.28
2025-12-01,EUR,104.74
2025-12-02,EUR,104.66
2025-12-03,EUR,105.93
2025-12-04,EUR,105.74
2025-12-05,EUR,106.33
2025-12-08,EUR,104.0
2025-12-09,EUR,105.44
2025-12-10,EUR,105.34
2025-12-11,EUR,104.48
2025-12-12,EUR,104.94
2025-12-15,EUR,104.26
2025-12-16,EUR,103.57
2025-12-17,EUR,103.86
2025-12-18,EUR,103.42
2025-12-19,EUR,105.73
2025-12-22,EUR,105.64
2025-12-23,EUR,106.8
2025-12-24,EUR,105.92
2025-12-25,EUR,103.21
2025-12-26,EUR,106.54
2025-12-29,EUR,106.45
2025-12-30,EUR,104.77
2025-12-31,EUR,105.34
2025-01-09,CNY,15.4
2025-01-10,CNY,13.63
2025-01-13,CNY,15.12
2025-01-14,CNY,11.83
2025-01-15,CNY,12.26
2025-01-16,CNY,13.26
2025-01-17,CNY,13.84
2025-01-20,CNY,14.76
2025-01-21,CNY,15.45
2025-01-22,CNY,13.06
2025-01-23,CNY,11.69
2025-01-24,CNY,14.7
2025-01-27,CNY,13.92
2025-01-28,CNY,12.29
2025-01-29,CNY,13.48
2025-01-30,CNY,14.47
2025-01-31,CNY,14.58
2025-02-03,CNY,13.5
2025-02-04,CNY,12.72
2025-02-05,CNY,15.39
2025-02-06,CNY,14.15
2025-02-07,CNY,13.13
2025-02-10,CNY,12.62
2025-02-11,CNY,14.42
2025-02-12,CNY,12.47
2025-02-13,CNY,12.19
2025-02-14,CNY,13.62
2025-02-17,CNY,12.66
2025-02-18,CNY,14.02
2025-02-19,CNY,11.97
2025-02-20,CNY,14.12
2025-02-21,CNY,12.63
2025-02-25,CNY,11.5
2025-02-26,CNY,12.01
2025-02-27,CNY,15.23
2025-02-28,CNY,14.97
2025-03-03,CNY,12.43
2025-03-04,CNY,14.61
2025-03-05,CNY,13.93
2025-03-06,CNY,15.38
2025-03-07,CNY,12.99
2025-03-11,CNY,14.23
2025-03-12,CNY,11.75
2025-03-13,CNY,13.08
2025-03-14,CNY,15.36
2025-03-17,CNY,13.66
2025-03-18,CNY,12.65
2025-03-19,CNY,11.98
2025-03-20,CNY,14.31
2025-03-21,CNY,14.08
2025-03-24,CNY,13.0
2025-03-25,CNY,15.3
2025-03-26,CNY,11.59
2025-03-27,CNY,12.71
2025-03-28,CNY,15.18
2025-03-31,CNY,12.78
2025-04-01,CNY,12.51
2025-04-02,CNY,13.64
2025-04-03,CNY,14.8
2025-04-04,CNY,11.91
2025-04-07,CNY,15.27
2025-04-08,CNY,14.68
2025-04-09,CNY,12.23
2025-04-10,CNY,14.35
2025-04-11,CNY,13.04
2025-04-14,CNY,13.11
2025-04-15,CNY,14.63
2025-04-16,CNY,15.35
2025-04-17,CNY,12.01
2025-04-18,CNY,13.18
2025-04-21,CNY,13.42
2025-04-22,CNY,13.01
2025-04-23,CNY,12.95
2025-04-24,CNY,11.71
2025-04-25,CNY,14.24
2025-04-28,CNY,13.24
2025-04-29,CNY,12.28
2025-04-30,CNY,14.76
2025-05-05,CNY,14.71
2025-05-06,CNY,13.45
2025-05-07,CNY,12.69
2025-05-08,CNY,14.05
2025-05-12,CNY,12.65
2025-05-13,CNY,12.44
2025-05-14,CNY,14.42
2025-05-15,CNY,11.66
2025-05-16,CNY,11.88
2025-05-19,CNY,11.53
2025-05-20,CNY,12.11
2025-05-21,CNY,11.78
2025-05-22,CNY,15.48
2025-05-23,CNY,12.66
2025-05-26,CNY,12.1
2025-05-27,CNY,12.46
2025-05-28,CNY,15.24
2025-05-29,CNY,13.58
2025-05-30,CNY,12.96
2025-06-02,CNY,14.99
2025-06-03,CNY,13.08
2025-06-04,CNY,12.84
2025-06-05,CNY,12.33
2025-06-06,CNY,13.01
2025-06-09,CNY,12.77
2025-06-10,CNY,14.21
2025-06-11,CNY,12.66
2025-06-16,CNY,13.81
2025-06-17,CNY,11.76
2025-06-18,CNY,12.27
2025-06-19,CNY,13.13
2025-06-20,CNY,15.25
2025-06-23,CNY,13.01
2025-06-24,CNY,14.16
2025-06-25,CNY,12.52
2025-06-26,CNY,12.01
2025-06-27,CNY,11.73
2025-06-30,CNY,12.72
2025-07-01,CNY,12.13
2025-07-02,CNY,12.2
2025-07-03,CNY,14.54
2025-07-04,CNY,11.56
2025-07-07,CNY,13.73
2025-07-08,CNY,13.02
2025-07-09,CNY,13.53
2025-07-10,CNY,13.75
2025-07-11,CNY,12.75
2025-07-14,CNY,12.68
2025-07-15,CNY,14.43
2025-07-16,CNY,14.99
2025-07-17,CNY,12.27
2025-07-18,CNY,11.89
2025-07-21,CNY,15.09
2025-07-22,CNY,12.9
2025-07-23,CNY,13.71
2025-07-24,CNY,12.94
2025-07-25,CNY,12.0
2025-07-28,CNY,13.86
2025-07-29,CNY,13.6
2025-07-30,CNY,12.31
2025-07-31,CNY,13.31
2025-08-01,CNY,14.69
2025-08-04,CNY,13.86
2025-08-05,CNY,11.89
2025-08-06,CNY,13.69
2025-08-07,CNY,14.31
2025-08-08,CNY,14.67
2025-08-11,CNY,14.02
2025-08-12,CNY,12.11
2025-08-13,CNY,14.34
2025-08-14,CNY,14.21
2025-08-15,CNY,11.6
2025-08-18,CNY,13.15
2025-08-19,CNY,12.83
2025-08-20,CNY,14.18
2025-08-21,CNY,12.36
2025-08-22,CNY,13.86
2025-08-25,CNY,15.15
2025-08-26,CNY,14.69
2025-08-27,CNY,15.19
2025-08-28,CNY,15.41
2025-08-29,CNY,11.54
2025-09-01,CNY,13.99
2025-09-02,CNY,13.15
2025-09-03,CNY,14.94
2025-09-04,CNY,12.51
2025-09-05,CNY,15.42
2025-09-08,CNY,13.95
2025-09-09,CNY,14.67
2025-09-10,CNY,11.84
2025-09-11,CNY,12.23
2025-09-12,CNY,14.53
2025-09-15,CNY,11.59
2025-09-16,CNY,14.77
2025-09-17,CNY,11.56
2025-09-18,CNY,14.13
2025-09-19,CNY,12.96
2025-09-22,CNY,13.95
2025-09-23,CNY,14.28
2025-09-24,CNY,12.87
2025-09-25,CNY,11.93
2025-09-26,CNY,11.78
2025-09-29,CNY,13.86
2025-09-30,CNY,13.58
2025-10-01,CNY,14.47
2025-10-02,CNY,13.54
2025-10-03,CNY,13.19
2025-10-06,CNY,13.09
2025-10-07,CNY,11.61
2025-10-08,CNY,12.84
2025-10-09,CNY,15.4
2025-10-10,CNY,14.99
2025-10-13,CNY,12.82
2025-10-14,CNY,13.85
2025-10-15,CNY,14.89
2025-10-16,CNY,13.27
2025-10-17,CNY,11.57
2025-10-20,CNY,11.8
2025-10-21,CNY,13.54
2025-10-22,CNY,15.38
2025-10-23,CNY,14.27
2025-10-24,CNY,11.78
2025-10-27,CNY,12.26
2025-10-28,CNY,14.59
2025-10-29,CNY,14.87
2025-10-30,CNY,13.97
2025-10-31,CNY,14.08
2025-11-03,CNY,11.61
2025-11-05,CNY,14.81
2025-11-06,CNY,14.65
2025-11-07,CNY,12.54
2025-11-10,CNY,14.33
2025-11-11,CNY,12.36
2025-11-12,CNY,11.66
2025-11-13,CNY,12.3
2025-11-14,CNY,12.21
2025-11-17,CNY,12.85
2025-11-18,CNY,13.17
2025-11-19,CNY,13.53
2025-11-20,CNY,13.41
2025-11-21,CNY,12.58
2025-11-24,CNY,11.62
2025-11-25,CNY,13.92
2025-11-26,CNY,13.08
2025-11-27,CNY,12.69
2025-11-28,CNY,14.97
2025-12-01,CNY,14.49
2025-12-02,CNY,14.93
2025-12-03,CNY,13.48
2025-12-04,CNY,12.02
2025-12-05,CNY,14.28
2025-12-08,CNY,12.32
2025-12-09,CNY,13.26
2025-12-10,CNY,11.76
2025-12-11,CNY,14.8
2025-12-12,CNY,12.0
2025-12-15,CNY,15.11
2025-12-16,CNY,14.96
2025-12-17,CNY,13.36
2025-12-18,CNY,14.48
2025-12-19,CNY,13.98
2025-12-22,CNY,14.71
2025-12-23,CNY,13.23
2025-12-24,CNY,14.64
2025-12-25,CNY,13.35
2025-12-26,CNY,15.26
2025-12-29,CNY,13.45
2025-12-30,CNY,13.35
2025-12-31,CNY,14.64
